"","상품군별","운영형태별","년월","매출액","년도","월"
"321","화장품","On/Offline몰","2017_5","370375","2017","5"
"322","아동·유아용품","계","2017_5","274565","2017","5"
"323","아동·유아용품","Online몰","2017_5","234127","2017","5"
"324","아동·유아용품","On/Offline몰","2017_5","40438","2017","5"
"325","음·식료품","계","2017_5","633354","2017","5"
"326","음·식료품","Online몰","2017_5","400562","2017","5"
"327","음·식료품","On/Offline몰","2017_5","232792","2017","5"
"328","농축수산물","계","2017_5","175762","2017","5"
"329","농축수산물","Online몰","2017_5","97741","2017","5"
"330","농축수산물","On/Offline몰","2017_5","78021","2017","5"
"331","생활용품","계","2017_5","600558","2017","5"
"332","생활용품","Online몰","2017_5","456021","2017","5"
"333","생활용품","On/Offline몰","2017_5","144537","2017","5"
"334","자동차 및 자동차용품","계","2017_5","87211","2017","5"
"335","자동차 및 자동차용품","Online몰","2017_5","76984","2017","5"
"336","자동차 및 자동차용품","On/Offline몰","2017_5","10228","2017","5"
"337","가구","계","2017_5","201440","2017","5"
"338","가구","Online몰","2017_5","135359","2017","5"
"339","가구","On/Offline몰","2017_5","66080","2017","5"
"340","애완용품","계","2017_5","56112","2017","5"
"341","애완용품","Online몰","2017_5","52045","2017","5"
"342","애완용품","On/Offline몰","2017_5","4067","2017","5"
"343","여행 및 교통서비스","계","2017_5","1181895","2017","5"
"344","여행 및 교통서비스","Online몰","2017_5","553876","2017","5"
"345","여행 및 교통서비스","On/Offline몰","2017_5","628019","2017","5"
"346","문화 및 레저서비스","계","2017_5","133785","2017","5"
"347","문화 및 레저서비스","Online몰","2017_5","74403","2017","5"
"348","문화 및 레저서비스","On/Offline몰","2017_5","59382","2017","5"
"349","e쿠폰서비스","계","2017_5","98613","2017","5"
"350","e쿠폰서비스","Online몰","2017_5","92651","2017","5"
"351","e쿠폰서비스","On/Offline몰","2017_5","5962","2017","5"
"352","음식서비스","계","2017_5","210565","2017","5"
"353","음식서비스","Online몰","2017_5","185985","2017","5"
"354","음식서비스","On/Offline몰","2017_5","24580","2017","5"
"355","기타서비스","계","2017_5","43491","2017","5"
"356","기타서비스","Online몰","2017_5","30141","2017","5"
"357","기타서비스","On/Offline몰","2017_5","13350","2017","5"
"358","기타","계","2017_5","164517","2017","5"
"359","기타","Online몰","2017_5","148125","2017","5"
"360","기타","On/Offline몰","2017_5","16392","2017","5"
"361","합계","계","2017_6","7515130","2017","6"
"362","합계","Online몰","2017_6","5071821","2017","6"
"363","합계","On/Offline몰","2017_6","2443308","2017","6"
"364","컴퓨터 및 주변기기","계","2017_6","376719","2017","6"
"365","컴퓨터 및 주변기기","Online몰","2017_6","305461","2017","6"
"366","컴퓨터 및 주변기기","On/Offline몰","2017_6","71258","2017","6"
"367","가전·전자·통신기기","계","2017_6","752474","2017","6"
