"","상품군별","범위별","년월","매출액","년도","월"
"146","합계","종합몰","2020_10","9831872","2020","10"
"147","합계","전문몰","2020_10","4411640","2020","10"
"148","컴퓨터 및 주변기기","계","2020_10","589486","2020","10"
"149","컴퓨터 및 주변기기","종합몰","2020_10","384588","2020","10"
"150","컴퓨터 및 주변기기","전문몰","2020_10","204898","2020","10"
"151","가전·전자·통신기기","계","2020_10","1719845","2020","10"
"152","가전·전자·통신기기","종합몰","2020_10","1437912","2020","10"
"153","가전·전자·통신기기","전문몰","2020_10","281933","2020","10"
"154","서적","계","2020_10","181514","2020","10"
"155","서적","종합몰","2020_10","67014","2020","10"
"156","서적","전문몰","2020_10","114500","2020","10"
"157","사무·문구","계","2020_10","102014","2020","10"
"158","사무·문구","종합몰","2020_10","77546","2020","10"
"159","사무·문구","전문몰","2020_10","24468","2020","10"
"160","의복","계","2020_10","1629776","2020","10"
"161","의복","종합몰","2020_10","903056","2020","10"
"162","의복","전문몰","2020_10","726720","2020","10"
"163","신발","계","2020_10","220705","2020","10"
"164","신발","종합몰","2020_10","149723","2020","10"
"165","신발","전문몰","2020_10","70982","2020","10"
"166","가방","계","2020_10","231027","2020","10"
"167","가방","종합몰","2020_10","205119","2020","10"
"168","가방","전문몰","2020_10","25908","2020","10"
"169","패션용품 및 액세서리","계","2020_10","171883","2020","10"
"170","패션용품 및 액세서리","종합몰","2020_10","130023","2020","10"
"171","패션용품 및 액세서리","전문몰","2020_10","41860","2020","10"
"172","스포츠·레저용품","계","2020_10","589074","2020","10"
"173","스포츠·레저용품","종합몰","2020_10","508023","2020","10"
"174","스포츠·레저용품","전문몰","2020_10","81051","2020","10"
"175","화장품","계","2020_10","1041701","2020","10"
"176","화장품","종합몰","2020_10","964817","2020","10"
"177","화장품","전문몰","2020_10","76884","2020","10"
"178","아동·유아용품","계","2020_10","404769","2020","10"
"179","아동·유아용품","종합몰","2020_10","366498","2020","10"
"180","아동·유아용품","전문몰","2020_10","38271","2020","10"
"181","음·식료품","계","2020_10","1704630","2020","10"
"182","음·식료품","종합몰","2020_10","1452311","2020","10"
"183","음·식료품","전문몰","2020_10","252319","2020","10"
"184","농축수산물","계","2020_10","489595","2020","10"
"185","농축수산물","종합몰","2020_10","429600","2020","10"
"186","농축수산물","전문몰","2020_10","59995","2020","10"
"187","생활용품","계","2020_10","1226441","2020","10"
"188","생활용품","종합몰","2020_10","1105377","2020","10"
"189","생활용품","전문몰","2020_10","121064","2020","10"
"190","자동차 및 자동차용품","계","2020_10","157470","2020","10"
"191","자동차 및 자동차용품","종합몰","2020_10","137879","2020","10"
"192","자동차 및 자동차용품","전문몰","2020_10","19591","2020","10"
"193","가구","계","2020_10","461445","2020","10"
"194","가구","종합몰","2020_10","409503","2020","10"
"195","가구","전문몰","2020_10","51942","2020","10"
"196","애완용품","계","2020_10","103364","2020","10"
"197","애완용품","종합몰","2020_10","90782","2020","10"
"198","애완용품","전문몰","2020_10","12582","2020","10"
"199","여행 및 교통서비스","계","2020_10","677959","2020","10"
"200","여행 및 교통서비스","종합몰","2020_10","103231","2020","10"
"201","여행 및 교통서비스","전문몰","2020_10","574728","2020","10"
"202","문화 및 레저서비스","계","2020_10","74490","2020","10"
"203","문화 및 레저서비스","종합몰","2020_10","47690","2020","10"
"204","문화 및 레저서비스","전문몰","2020_10","26800","2020","10"
"205","e쿠폰서비스","계","2020_10","384117","2020","10"
"206","e쿠폰서비스","종합몰","2020_10","378217","2020","10"
"207","e쿠폰서비스","전문몰","2020_10","5900","2020","10"
"208","음식서비스","계","2020_10","1557824","2020","10"
"209","음식서비스","종합몰","2020_10","97719","2020","10"
"210","음식서비스","전문몰","2020_10","1460105","2020","10"
"211","기타서비스","계","2020_10","154137","2020","10"
"212","기타서비스","종합몰","2020_10","83342","2020","10"
"213","기타서비스","전문몰","2020_10","70795","2020","10"
"214","기타","계","2020_10","370243","2020","10"
"215","기타","종합몰","2020_10","301902","2020","10"
"216","기타","전문몰","2020_10","68341","2020","10"
"217","합계","계","2020_9","14376065","2020","9"
"218","합계","종합몰","2020_9","10020858","2020","9"
"219","합계","전문몰","2020_9","4355207","2020","9"
"220","컴퓨터 및 주변기기","계","2020_9","666728","2020","9"
"221","컴퓨터 및 주변기기","종합몰","2020_9","461782","2020","9"
"222","컴퓨터 및 주변기기","전문몰","2020_9","204946","2020","9"
"223","가전·전자·통신기기","계","2020_9","1553503","2020","9"
"224","가전·전자·통신기기","종합몰","2020_9","1291744","2020","9"
"225","가전·전자·통신기기","전문몰","2020_9","261759","2020","9"
"226","서적","계","2020_9","231233","2020","9"
"227","서적","종합몰","2020_9","87548","2020","9"
"228","서적","전문몰","2020_9","143685","2020","9"
"229","사무·문구","계","2020_9","96491","2020","9"
"230","사무·문구","종합몰","2020_9","73735","2020","9"
"231","사무·문구","전문몰","2020_9","22756","2020","9"
"232","의복","계","2020_9","1183622","2020","9"
"233","의복","종합몰","2020_9","634374","2020","9"
"234","의복","전문몰","2020_9","549248","2020","9"
"235","신발","계","2020_9","190269","2020","9"
"236","신발","종합몰","2020_9","122241","2020","9"
"237","신발","전문몰","2020_9","68028","2020","9"
"238","가방","계","2020_9","220242","2020","9"
"239","가방","종합몰","2020_9","188826","2020","9"
"240","가방","전문몰","2020_9","31416","2020","9"
"241","패션용품 및 액세서리","계","2020_9","169361","2020","9"
"242","패션용품 및 액세서리","종합몰","2020_9","125645","2020","9"
"243","패션용품 및 액세서리","전문몰","2020_9","43716","2020","9"
"244","스포츠·레저용품","계","2020_9","482321","2020","9"
"245","스포츠·레저용품","종합몰","2020_9","416057","2020","9"
"246","스포츠·레저용품","전문몰","2020_9","66264","2020","9"
"247","화장품","계","2020_9","1088050","2020","9"
"248","화장품","종합몰","2020_9","993801","2020","9"
"249","화장품","전문몰","2020_9","94249","2020","9"
"250","아동·유아용품","계","2020_9","405310","2020","9"
"251","아동·유아용품","종합몰","2020_9","361537","2020","9"
"252","아동·유아용품","전문몰","2020_9","43773","2020","9"
"253","음·식료품","계","2020_9","2119217","2020","9"
"254","음·식료품","종합몰","2020_9","1806131","2020","9"
"255","음·식료품","전문몰","2020_9","313086","2020","9"
"256","농축수산물","계","2020_9","736811","2020","9"
"257","농축수산물","종합몰","2020_9","637803","2020","9"
"258","농축수산물","전문몰","2020_9","99008","2020","9"
"259","생활용품","계","2020_9","1282774","2020","9"
"260","생활용품","종합몰","2020_9","1145761","2020","9"
"261","생활용품","전문몰","2020_9","137013","2020","9"
"262","자동차 및 자동차용품","계","2020_9","222740","2020","9"
"263","자동차 및 자동차용품","종합몰","2020_9","147391","2020","9"
"264","자동차 및 자동차용품","전문몰","2020_9","75349","2020","9"
"265","가구","계","2020_9","459738","2020","9"
"266","가구","종합몰","2020_9","406870","2020","9"
"267","가구","전문몰","2020_9","52868","2020","9"
"268","애완용품","계","2020_9","99890","2020","9"
"269","애완용품","종합몰","2020_9","88594","2020","9"
"270","애완용품","전문몰","2020_9","11296","2020","9"
"271","여행 및 교통서비스","계","2020_9","545942","2020","9"
"272","여행 및 교통서비스","종합몰","2020_9","68748","2020","9"
"273","여행 및 교통서비스","전문몰","2020_9","477194","2020","9"
"274","문화 및 레저서비스","계","2020_9","38413","2020","9"
"275","문화 및 레저서비스","종합몰","2020_9","18649","2020","9"
"276","문화 및 레저서비스","전문몰","2020_9","19764","2020","9"
"277","e쿠폰서비스","계","2020_9","433572","2020","9"
"278","e쿠폰서비스","종합몰","2020_9","424067","2020","9"
"279","e쿠폰서비스","전문몰","2020_9","9505","2020","9"
"280","음식서비스","계","2020_9","1617735","2020","9"
"281","음식서비스","종합몰","2020_9","97730","2020","9"
"282","음식서비스","전문몰","2020_9","1520005","2020","9"
"283","기타서비스","계","2020_9","143243","2020","9"
"284","기타서비스","종합몰","2020_9","93099","2020","9"
"285","기타서비스","전문몰","2020_9","50144","2020","9"
"286","기타","계","2020_9","388859","2020","9"
"287","기타","종합몰","2020_9","328725","2020","9"
"288","기타","전문몰","2020_9","60134","2020","9"
"289","합계","계","2020_8","14077149","2020","8"
"290","합계","종합몰","2020_8","9752941","2020","8"
"291","합계","전문몰","2020_8","4324208","2020","8"
"292","컴퓨터 및 주변기기","계","2020_8","642799","2020","8"
"293","컴퓨터 및 주변기기","종합몰","2020_8","438444","2020","8"
"294","컴퓨터 및 주변기기","전문몰","2020_8","204355","2020","8"
"295","가전·전자·통신기기","계","2020_8","1783196","2020","8"
"296","가전·전자·통신기기","종합몰","2020_8","1532769","2020","8"
"297","가전·전자·통신기기","전문몰","2020_8","250427","2020","8"
"298","서적","계","2020_8","214206","2020","8"
"299","서적","종합몰","2020_8","81532","2020","8"
"300","서적","전문몰","2020_8","132674","2020","8"
"301","사무·문구","계","2020_8","83303","2020","8"
"302","사무·문구","종합몰","2020_8","61909","2020","8"
"303","사무·문구","전문몰","2020_8","21394","2020","8"
"304","의복","계","2020_8","943415","2020","8"
"305","의복","종합몰","2020_8","500699","2020","8"
"306","의복","전문몰","2020_8","442716","2020","8"
"307","신발","계","2020_8","181820","2020","8"
"308","신발","종합몰","2020_8","112998","2020","8"
"309","신발","전문몰","2020_8","68822","2020","8"
"310","가방","계","2020_8","222458","2020","8"
"311","가방","종합몰","2020_8","193565","2020","8"
"312","가방","전문몰","2020_8","28893","2020","8"
"313","패션용품 및 액세서리","계","2020_8","192160","2020","8"
"314","패션용품 및 액세서리","종합몰","2020_8","136451","2020","8"
"315","패션용품 및 액세서리","전문몰","2020_8","55709","2020","8"
"316","스포츠·레저용품","계","2020_8","442966","2020","8"
"317","스포츠·레저용품","종합몰","2020_8","383033","2020","8"
"318","스포츠·레저용품","전문몰","2020_8","59933","2020","8"
"319","화장품","계","2020_8","1093832","2020","8"
"320","화장품","종합몰","2020_8","1017290","2020","8"
"321","화장품","전문몰","2020_8","76542","2020","8"
"322","아동·유아용품","계","2020_8","392087","2020","8"
"323","아동·유아용품","종합몰","2020_8","348852","2020","8"
"324","아동·유아용품","전문몰","2020_8","43235","2020","8"
"325","음·식료품","계","2020_8","1719569","2020","8"
"326","음·식료품","종합몰","2020_8","1465196","2020","8"
"327","음·식료품","전문몰","2020_8","254373","2020","8"
"328","농축수산물","계","2020_8","512233","2020","8"
"329","농축수산물","종합몰","2020_8","447434","2020","8"
"330","농축수산물","전문몰","2020_8","64799","2020","8"
"331","생활용품","계","2020_8","1320080","2020","8"
"332","생활용품","종합몰","2020_8","1199338","2020","8"
"333","생활용품","전문몰","2020_8","120742","2020","8"
"334","자동차 및 자동차용품","계","2020_8","208842","2020","8"
"335","자동차 및 자동차용품","종합몰","2020_8","143653","2020","8"
"336","자동차 및 자동차용품","전문몰","2020_8","65189","2020","8"
"337","가구","계","2020_8","422509","2020","8"
"338","가구","종합몰","2020_8","375414","2020","8"
"339","가구","전문몰","2020_8","47095","2020","8"
"340","애완용품","계","2020_8","97146","2020","8"
"341","애완용품","종합몰","2020_8","86597","2020","8"
"342","애완용품","전문몰","2020_8","10549","2020","8"
"343","여행 및 교통서비스","계","2020_8","782643","2020","8"
"344","여행 및 교통서비스","종합몰","2020_8","130619","2020","8"
"345","여행 및 교통서비스","전문몰","2020_8","652024","2020","8"
"346","문화 및 레저서비스","계","2020_8","57049","2020","8"
"347","문화 및 레저서비스","종합몰","2020_8","22551","2020","8"
"348","문화 및 레저서비스","전문몰","2020_8","34498","2020","8"
"349","e쿠폰서비스","계","2020_8","395009","2020","8"
"350","e쿠폰서비스","종합몰","2020_8","389147","2020","8"
"351","e쿠폰서비스","전문몰","2020_8","5862","2020","8"
"352","음식서비스","계","2020_8","1704961","2020","8"
"353","음식서비스","종합몰","2020_8","89958","2020","8"
"354","음식서비스","전문몰","2020_8","1615003","2020","8"
"355","기타서비스","계","2020_8","188176","2020","8"
"356","기타서비스","종합몰","2020_8","166717","2020","8"
"357","기타서비스","전문몰","2020_8","21459","2020","8"
"358","기타","계","2020_8","476691","2020","8"
"359","기타","종합몰","2020_8","428775","2020","8"
