"","년도","월","분기","판매매체별","중분류","상품군별","매출액","전월_대비매출현황","전월대비_증감","season","total_case","경기심리지수","경기심리지수_증감률_2017기준","소비자심리지수","소비자지수_증감률_2017기준","기기별_검색추이","성별","선호_성별_검색추이","선호연령대","선호연령대_성별","선호연령대_검색추이"
"43","2017","2","1Q","모바일","디지털_가전","가전·전자·통신기기",298786,294626,"증가","winter",0,97.9,1.8,94.5,1.2,51.967105,"f",47.72281,"30","여자",56.10185
"44","2017","2","1Q","모바일","디지털_가전","자동차 및 자동차용품",43128,45400,"감소","winter",0,97.9,1.8,94.5,1.2,51.967105,"f",47.72281,"30","여자",56.10185
"45","2017","2","1Q","모바일","디지털_가전","컴퓨터 및 주변기기",146200,133993,"증가","winter",0,97.9,1.8,94.5,1.2,51.967105,"f",47.72281,"30","여자",56.10185
"46","2017","2","1Q","인터넷","디지털_가전","가전·전자·통신기기",328088,307496,"증가","winter",0,97.9,1.8,94.5,1.2,7.930485,"m",40.32925,"30","남자",15.68175
"47","2017","2","1Q","인터넷","디지털_가전","자동차 및 자동차용품",33549,34744,"감소","winter",0,97.9,1.8,94.5,1.2,7.930485,"m",40.32925,"30","남자",15.68175
"48","2017","2","1Q","인터넷","디지털_가전","컴퓨터 및 주변기기",329143,288391,"증가","winter",0,97.9,1.8,94.5,1.2,7.930485,"m",40.32925,"30","남자",15.68175
"49","2017","2","1Q","모바일","생활_건강","사무·문구",18854,15959,"증가","winter",0,97.9,1.8,94.5,1.2,43.47828,"m",49.02885,"30","남자",71.43332
"50","2017","2","1Q","모바일","생활_건강","생활용품",354823,346900,"증가","winter",0,97.9,1.8,94.5,1.2,43.47828,"m",49.02885,"30","남자",71.43332
"51","2017","2","1Q","모바일","생활_건강","서적",47680,47379,"증가","winter",0,97.9,1.8,94.5,1.2,43.47828,"m",49.02885,"30","남자",71.43332
"52","2017","2","1Q","모바일","생활_건강","애완용품",37709,30247,"증가","winter",0,97.9,1.8,94.5,1.2,43.47828,"m",49.02885,"30","남자",71.43332
"53","2017","2","1Q","인터넷","생활_건강","사무·문구",41550,37233,"증가","winter",0,97.9,1.8,94.5,1.2,7.1977,"m",55.55708,"30","남자",56.48876
"54","2017","2","1Q","인터넷","생활_건강","생활용품",252296,245410,"증가","winter",0,97.9,1.8,94.5,1.2,7.1977,"m",55.55708,"30","남자",56.48876
