"","period","ratio","group","카테고리명","검색기기","년도","월"
"174","2017-03-01",10.42635,"m","화장품_미용","mobile","2017","3"
"175","2017-04-01",61.93054,"f","화장품_미용","mobile","2017","4"
"176","2017-04-01",10.7817,"m","화장품_미용","mobile","2017","4"
"177","2017-05-01",57.8249,"f","화장품_미용","mobile","2017","5"
"178","2017-05-01",10.5076,"m","화장품_미용","mobile","2017","5"
"179","2017-06-01",48.96941,"f","화장품_미용","mobile","2017","6"
"180","2017-06-01",8.8333,"m","화장품_미용","mobile","2017","6"
"181","2017-07-01",43.72541,"f","화장품_미용","mobile","2017","7"
"182","2017-07-01",8.29739,"m","화장품_미용","mobile","2017","7"
"183","2017-08-01",47.33293,"f","화장품_미용","mobile","2017","8"
"184","2017-08-01",8.38673,"m","화장품_미용","mobile","2017","8"
"185","2017-09-01",44.84926,"f","화장품_미용","mobile","2017","9"
"186","2017-09-01",8.45746,"m","화장품_미용","mobile","2017","9"
"187","2017-10-01",52.56306,"f","화장품_미용","mobile","2017","10"
"188","2017-10-01",10.30676,"m","화장품_미용","mobile","2017","10"
"189","2017-11-01",49.7394,"f","화장품_미용","mobile","2017","11"
"190","2017-11-01",9.06466,"m","화장품_미용","mobile","2017","11"
"191","2017-12-01",57.2991,"f","화장품_미용","mobile","2017","12"
"192","2017-12-01",10.58762,"m","화장품_미용","mobile","2017","12"
"193","2017-01-01",53.68928,"f","가구_인테리어","pc","2017","1"
"194","2017-01-01",52.36797,"m","가구_인테리어","pc","2017","1"
"195","2017-02-01",44.24934,"f","가구_인테리어","pc","2017","2"
"196","2017-02-01",39.51219,"m","가구_인테리어","pc","2017","2"
"197","2017-03-01",59.22737,"f","가구_인테리어","pc","2017","3"
"198","2017-03-01",56.73294,"m","가구_인테리어","pc","2017","3"
"199","2017-04-01",53.5177,"f","가구_인테리어","pc","2017","4"
"200","2017-04-01",56.96774,"m","가구_인테리어","pc","2017","4"
"201","2017-05-01",50.81761,"f","가구_인테리어","pc","2017","5"
"202","2017-05-01",55.35336,"m","가구_인테리어","pc","2017","5"
"203","2017-06-01",45.3747,"f","가구_인테리어","pc","2017","6"
"204","2017-06-01",45.71163,"m","가구_인테리어","pc","2017","6"
"205","2017-07-01",45.65077,"f","가구_인테리어","pc","2017","7"
"206","2017-07-01",51.09345,"m","가구_인테리어","pc","2017","7"
"207","2017-08-01",54.06002,"f","가구_인테리어","pc","2017","8"
"208","2017-08-01",60.12982,"m","가구_인테리어","pc","2017","8"
"209","2017-09-01",44.56121,"f","가구_인테리어","pc","2017","9"
"210","2017-09-01",48.70296,"m","가구_인테리어","pc","2017","9"
"211","2017-10-01",67.75419,"f","가구_인테리어","pc","2017","10"
"212","2017-10-01",77.87723,"m","가구_인테리어","pc","2017","10"
"213","2017-11-01",61.95208,"f","가구_인테리어","pc","2017","11"
"214","2017-11-01",64.28212,"m","가구_인테리어","pc","2017","11"
"215","2017-12-01",57.42401,"f","가구_인테리어","pc","2017","12"
"216","2017-12-01",62.43362,"m","가구_인테리어","pc","2017","12"
"217","2017-01-01",18.171,"f","디지털_가전","pc","2017","1"
"218","2017-01-01",47.85197,"m","디지털_가전","pc","2017","1"
"219","2017-02-01",14.16064,"f","디지털_가전","pc","2017","2"
"220","2017-02-01",40.32925,"m","디지털_가전","pc","2017","2"
"221","2017-03-01",16.06539,"f","디지털_가전","pc","2017","3"
"222","2017-03-01",47.99228,"m","디지털_가전","pc","2017","3"
"223","2017-04-01",17.21304,"f","디지털_가전","pc","2017","4"
"224","2017-04-01",51.21382,"m","디지털_가전","pc","2017","4"
"225","2017-05-01",16.85718,"f","디지털_가전","pc","2017","5"
"226","2017-05-01",54.69474,"m","디지털_가전","pc","2017","5"
"227","2017-06-01",15.35027,"f","디지털_가전","pc","2017","6"
"228","2017-06-01",42.44373,"m","디지털_가전","pc","2017","6"
"229","2017-07-01",18.68932,"f","디지털_가전","pc","2017","7"
"230","2017-07-01",59.84406,"m","디지털_가전","pc","2017","7"
"231","2017-08-01",17.42652,"f","디지털_가전","pc","2017","8"
"232","2017-08-01",63.73629,"m","디지털_가전","pc","2017","8"
"233","2017-09-01",12.34215,"f","디지털_가전","pc","2017","9"
"234","2017-09-01",71.04618,"m","디지털_가전","pc","2017","9"
"235","2017-10-01",19.06078,"f","디지털_가전","pc","2017","10"
"236","2017-10-01",106.24451,"m","디지털_가전","pc","2017","10"
"237","2017-11-01",19.52921,"f","디지털_가전","pc","2017","11"
"238","2017-11-01",131.76974,"m","디지털_가전","pc","2017","11"
"239","2017-12-01",17.63967,"f","디지털_가전","pc","2017","12"
"240","2017-12-01",131.73992,"m","디지털_가전","pc","2017","12"
"241","2017-01-01",6.11683,"f","생활_건강","pc","2017","1"
"242","2017-01-01",65.34934,"m","생활_건강","pc","2017","1"
"243","2017-02-01",4.7271,"f","생활_건강","pc","2017","2"
"244","2017-02-01",55.55708,"m","생활_건강","pc","2017","2"
"245","2017-03-01",4.27179,"f","생활_건강","pc","2017","3"
"246","2017-03-01",60.39079,"m","생활_건강","pc","2017","3"
"247","2017-04-01",7.17442,"f","생활_건강","pc","2017","4"
"248","2017-04-01",69.40531,"m","생활_건강","pc","2017","4"
"249","2017-05-01",5.55155,"f","생활_건강","pc","2017","5"
"250","2017-05-01",56.26258,"m","생활_건강","pc","2017","5"
"251","2017-06-01",5.26984,"f","생활_건강","pc","2017","6"
"252","2017-06-01",50.33985,"m","생활_건강","pc","2017","6"
"253","2017-07-01",6.17386,"f","생활_건강","pc","2017","7"
"254","2017-07-01",37.65064,"m","생활_건강","pc","2017","7"
"255","2017-08-01",6.49993,"f","생활_건강","pc","2017","8"
"256","2017-08-01",47.52121,"m","생활_건강","pc","2017","8"
"257","2017-09-01",4.16461,"f","생활_건강","pc","2017","9"
"258","2017-09-01",25.20869,"m","생활_건강","pc","2017","9"
"259","2017-10-01",5.78037,"f","생활_건강","pc","2017","10"
"260","2017-10-01",42.76783,"m","생활_건강","pc","2017","10"
"261","2017-11-01",6.26812,"f","생활_건강","pc","2017","11"
"262","2017-11-01",44.08039,"m","생활_건강","pc","2017","11"
"263","2017-12-01",5.71431,"f","생활_건강","pc","2017","12"
"264","2017-12-01",40.91579,"m","생활_건강","pc","2017","12"
"265","2017-01-01",12.08633,"f","스포츠_레져","pc","2017","1"
"266","2017-01-01",41.14209,"m","스포츠_레져","pc","2017","1"
"267","2017-02-01",7.59311,"f","스포츠_레져","pc","2017","2"
"268","2017-02-01",30.40689,"m","스포츠_레져","pc","2017","2"
"269","2017-03-01",9.98247,"f","스포츠_레져","pc","2017","3"
"270","2017-03-01",45.19386,"m","스포츠_레져","pc","2017","3"
"271","2017-04-01",10.65567,"f","스포츠_레져","pc","2017","4"
"272","2017-04-01",47.24566,"m","스포츠_레져","pc","2017","4"
"273","2017-05-01",11.34742,"f","스포츠_레져","pc","2017","5"
"274","2017-05-01",49.89833,"m","스포츠_레져","pc","2017","5"
"275","2017-06-01",13.13585,"f","스포츠_레져","pc","2017","6"
"276","2017-06-01",48.63197,"m","스포츠_레져","pc","2017","6"
"277","2017-07-01",18.54879,"f","스포츠_레져","pc","2017","7"
"278","2017-07-01",52.96924,"m","스포츠_레져","pc","2017","7"
"279","2017-08-01",15.81692,"f","스포츠_레져","pc","2017","8"
"280","2017-08-01",52.96777,"m","스포츠_레져","pc","2017","8"
"281","2017-09-01",8.41345,"f","스포츠_레져","pc","2017","9"
"282","2017-09-01",43.0821,"m","스포츠_레져","pc","2017","9"
"283","2017-10-01",15.40089,"f","스포츠_레져","pc","2017","10"
"284","2017-10-01",65.68472,"m","스포츠_레져","pc","2017","10"
"285","2017-11-01",12.48802,"f","스포츠_레져","pc","2017","11"
"286","2017-11-01",47.84331,"m","스포츠_레져","pc","2017","11"
"287","2017-12-01",14.0838,"f","스포츠_레져","pc","2017","12"
"288","2017-12-01",46.90577,"m","스포츠_레져","pc","2017","12"
"289","2017-01-01",31.09855,"f","식품","pc","2017","1"
"290","2017-01-01",34.75503,"m","식품","pc","2017","1"
"291","2017-02-01",35.41486,"f","식품","pc","2017","2"
"292","2017-02-01",39.61826,"m","식품","pc","2017","2"
"293","2017-03-01",22.9634,"f","식품","pc","2017","3"
"294","2017-03-01",32.04384,"m","식품","pc","2017","3"
"295","2017-04-01",16.66255,"f","식품","pc","2017","4"
"296","2017-04-01",30.31059,"m","식품","pc","2017","4"
"297","2017-05-01",15.85402,"f","식품","pc","2017","5"
"298","2017-05-01",35.81466,"m","식품","pc","2017","5"
"299","2017-06-01",23.71305,"f","식품","pc","2017","6"
"300","2017-06-01",28.59917,"m","식품","pc","2017","6"
"301","2017-07-01",24.74128,"f","식품","pc","2017","7"
"302","2017-07-01",33.21501,"m","식품","pc","2017","7"
"303","2017-08-01",32.4513,"f","식품","pc","2017","8"
"304","2017-08-01",40.26499,"m","식품","pc","2017","8"
"305","2017-09-01",33.49368,"f","식품","pc","2017","9"
"306","2017-09-01",43.8778,"m","식품","pc","2017","9"
"307","2017-10-01",32.24065,"f","식품","pc","2017","10"
"308","2017-10-01",41.82878,"m","식품","pc","2017","10"
"309","2017-11-01",32.1498,"f","식품","pc","2017","11"
"310","2017-11-01",37.62443,"m","식품","pc","2017","11"
"311","2017-12-01",26.74065,"f","식품","pc","2017","12"
"312","2017-12-01",35.52371,"m","식품","pc","2017","12"
"313","2017-01-01",62.01521,"f","출산_육아","pc","2017","1"
"314","2017-01-01",47.88592,"m","출산_육아","pc","2017","1"
"315","2017-02-01",50.4919,"f","출산_육아","pc","2017","2"
"316","2017-02-01",39.84318,"m","출산_육아","pc","2017","2"
"317","2017-03-01",48.8347,"f","출산_육아","pc","2017","3"
"318","2017-03-01",45.3396,"m","출산_육아","pc","2017","3"
"319","2017-04-01",43.44721,"f","출산_육아","pc","2017","4"
"320","2017-04-01",37.93698,"m","출산_육아","pc","2017","4"
"321","2017-05-01",40.90131,"f","출산_육아","pc","2017","5"
"322","2017-05-01",42.27306,"m","출산_육아","pc","2017","5"
"323","2017-06-01",39.9502,"f","출산_육아","pc","2017","6"
"324","2017-06-01",34.05277,"m","출산_육아","pc","2017","6"
"325","2017-07-01",40.24918,"f","출산_육아","pc","2017","7"
"326","2017-07-01",38.12621,"m","출산_육아","pc","2017","7"
"327","2017-08-01",37.58233,"f","출산_육아","pc","2017","8"
"328","2017-08-01",40.87988,"m","출산_육아","pc","2017","8"
"329","2017-09-01",20.5495,"f","출산_육아","pc","2017","9"
"330","2017-09-01",29.9675,"m","출산_육아","pc","2017","9"
"331","2017-10-01",30.88532,"f","출산_육아","pc","2017","10"
"332","2017-10-01",36.30434,"m","출산_육아","pc","2017","10"
"333","2017-11-01",28.26796,"f","출산_육아","pc","2017","11"
"334","2017-11-01",31.76035,"m","출산_육아","pc","2017","11"
"335","2017-12-01",47.49969,"f","출산_육아","pc","2017","12"
"336","2017-12-01",44.61463,"m","출산_육아","pc","2017","12"
"337","2017-01-01",63.84937,"f","패션잡화","pc","2017","1"
"338","2017-01-01",74.09306,"m","패션잡화","pc","2017","1"
"339","2017-02-01",52.14924,"f","패션잡화","pc","2017","2"
"340","2017-02-01",63.8909,"m","패션잡화","pc","2017","2"
"341","2017-03-01",66.56837,"f","패션잡화","pc","2017","3"
"342","2017-03-01",75.89144,"m","패션잡화","pc","2017","3"
