"","년도","월","분기","판매매체별","중분류","상품군별","매출액","전월_대비매출현황","전월대비_증감","season","total_case","경기심리지수","경기심리지수_증감률_2017기준","소비자심리지수","소비자지수_증감률_2017기준"
"164","2017","5","2Q","모바일","디지털_가전","자동차 및 자동차용품",48770,44786,"증가","spring",0,100.8,4.8,108.5,16.2
"165","2017","5","2Q","모바일","디지털_가전","컴퓨터 및 주변기기",109053,116675,"감소","spring",0,100.8,4.8,108.5,16.2
"166","2017","5","2Q","인터넷","디지털_가전","가전·전자·통신기기",417717,366894,"증가","spring",0,100.8,4.8,108.5,16.2
"167","2017","5","2Q","인터넷","디지털_가전","자동차 및 자동차용품",38442,35727,"증가","spring",0,100.8,4.8,108.5,16.2
"168","2017","5","2Q","인터넷","디지털_가전","컴퓨터 및 주변기기",241871,251604,"감소","spring",0,100.8,4.8,108.5,16.2
"169","2017","5","2Q","모바일","생활_건강","사무·문구",17810,20233,"감소","spring",0,100.8,4.8,108.5,16.2
"170","2017","5","2Q","모바일","생활_건강","생활용품",352665,328595,"증가","spring",0,100.8,4.8,108.5,16.2
"171","2017","5","2Q","모바일","생활_건강","서적",35774,40127,"감소","spring",0,100.8,4.8,108.5,16.2
"172","2017","5","2Q","모바일","생활_건강","애완용품",33175,35774,"감소","spring",0,100.8,4.8,108.5,16.2
"173","2017","5","2Q","인터넷","생활_건강","사무·문구",39428,41721,"감소","spring",0,100.8,4.8,108.5,16.2
"174","2017","5","2Q","인터넷","생활_건강","생활용품",247892,246729,"증가","spring",0,100.8,4.8,108.5,16.2
"175","2017","5","2Q","인터넷","생활_건강","서적",78606,82291,"감소","spring",0,100.8,4.8,108.5,16.2
"176","2017","5","2Q","인터넷","생활_건강","애완용품",22937,23609,"감소","spring",0,100.8,4.8,108.5,16.2
"177","2017","5","2Q","모바일","스포츠_레져","스포츠·레저용품",154683,147775,"증가","spring",0,100.8,4.8,108.5,16.2
"178","2017","5","2Q","인터넷","스포츠_레져","스포츠·레저용품",138288,135380,"증가","spring",0,100.8,4.8,108.5,16.2
"179","2017","5","2Q","모바일","식품","농축수산물",112058,110327,"증가","spring",0,100.8,4.8,108.5,16.2
"180","2017","5","2Q","모바일","식품","음·식료품",394181,386307,"증가","spring",0,100.8,4.8,108.5,16.2
"181","2017","5","2Q","인터넷","식품","농축수산물",63704,65812,"감소","spring",0,100.8,4.8,108.5,16.2
"182","2017","5","2Q","인터넷","식품","음·식료품",239172,266606,"감소","spring",0,100.8,4.8,108.5,16.2
"183","2017","5","2Q","모바일","여가_생활편의","e쿠폰서비스",83982,72727,"증가","spring",0,100.8,4.8,108.5,16.2
"184","2017","5","2Q","모바일","여가_생활편의","문화 및 레저서비스",57009,53515,"증가","spring",0,100.8,4.8,108.5,16.2
"185","2017","5","2Q","모바일","여가_생활편의","여행 및 교통서비스",607302,600457,"증가","spring",0,100.8,4.8,108.5,16.2
"186","2017","5","2Q","인터넷","여가_생활편의","e쿠폰서비스",14631,12206,"증가","spring",0,100.8,4.8,108.5,16.2
"187","2017","5","2Q","인터넷","여가_생활편의","문화 및 레저서비스",76776,66084,"증가","spring",0,100.8,4.8,108.5,16.2
"188","2017","5","2Q","인터넷","여가_생활편의","여행 및 교통서비스",574594,534384,"증가","spring",0,100.8,4.8,108.5,16.2
"189","2017","5","2Q","모바일","출산_육아","아동·유아용품",198011,203032,"감소","spring",0,100.8,4.8,108.5,16.2
"190","2017","5","2Q","인터넷","출산_육아","아동·유아용품",76554,90564,"감소","spring",0,100.8,4.8,108.5,16.2
"191","2017","5","2Q","모바일","패션잡화","가방",107327,112149,"감소","spring",0,100.8,4.8,108.5,16.2
"192","2017","5","2Q","모바일","패션잡화","신발",104765,97379,"증가","spring",0,100.8,4.8,108.5,16.2
"193","2017","5","2Q","모바일","패션잡화","의복",539150,531625,"증가","spring",0,100.8,4.8,108.5,16.2
"194","2017","5","2Q","모바일","패션잡화","패션용품 및 액세서리",106764,105230,"증가","spring",0,100.8,4.8,108.5,16.2
"195","2017","5","2Q","인터넷","패션잡화","가방",45044,47250,"감소","spring",0,100.8,4.8,108.5,16.2
"196","2017","5","2Q","인터넷","패션잡화","신발",55797,54249,"증가","spring",0,100.8,4.8,108.5,16.2
"197","2017","5","2Q","인터넷","패션잡화","의복",439084,441022,"감소","spring",0,100.8,4.8,108.5,16.2
"198","2017","5","2Q","인터넷","패션잡화","패션용품 및 액세서리",61938,59952,"증가","spring",0,100.8,4.8,108.5,16.2
"199","2017","5","2Q","모바일","화장품_미용","화장품",360424,331769,"증가","spring",0,100.8,4.8,108.5,16.2
"200","2017","5","2Q","인터넷","화장품_미용","화장품",262428,251566,"증가","spring",0,100.8,4.8,108.5,16.2
"201","2017","6","2Q","모바일","가구_인테리어","가구",119363,118222,"증가","summer",0,100,4,111.7,19.6
"202","2017","6","2Q","인터넷","가구_인테리어","가구",84221,83217,"증가","summer",0,100,4,111.7,19.6
"203","2017","6","2Q","모바일","디지털_가전","가전·전자·통신기기",385920,443900,"감소","summer",0,100,4,111.7,19.6
"204","2017","6","2Q","모바일","디지털_가전","자동차 및 자동차용품",48653,48770,"감소","summer",0,100,4,111.7,19.6
"205","2017","6","2Q","모바일","디지털_가전","컴퓨터 및 주변기기",113811,109053,"증가","summer",0,100,4,111.7,19.6
"206","2017","6","2Q","인터넷","디지털_가전","가전·전자·통신기기",366554,417717,"감소","summer",0,100,4,111.7,19.6
"207","2017","6","2Q","인터넷","디지털_가전","자동차 및 자동차용품",39538,38442,"증가","summer",0,100,4,111.7,19.6
"208","2017","6","2Q","인터넷","디지털_가전","컴퓨터 및 주변기기",262908,241871,"증가","summer",0,100,4,111.7,19.6
"209","2017","6","2Q","모바일","생활_건강","사무·문구",18181,17810,"증가","summer",0,100,4,111.7,19.6
"210","2017","6","2Q","모바일","생활_건강","생활용품",350978,352665,"감소","summer",0,100,4,111.7,19.6
"211","2017","6","2Q","모바일","생활_건강","서적",37657,35774,"증가","summer",0,100,4,111.7,19.6
"212","2017","6","2Q","모바일","생활_건강","애완용품",33360,33175,"증가","summer",0,100,4,111.7,19.6
"213","2017","6","2Q","인터넷","생활_건강","사무·문구",37788,39428,"감소","summer",0,100,4,111.7,19.6
"214","2017","6","2Q","인터넷","생활_건강","생활용품",246264,247892,"감소","summer",0,100,4,111.7,19.6
"215","2017","6","2Q","인터넷","생활_건강","서적",78615,78606,"증가","summer",0,100,4,111.7,19.6
"216","2017","6","2Q","인터넷","생활_건강","애완용품",22732,22937,"감소","summer",0,100,4,111.7,19.6
"217","2017","6","2Q","모바일","스포츠_레져","스포츠·레저용품",151484,154683,"감소","summer",0,100,4,111.7,19.6
"218","2017","6","2Q","인터넷","스포츠_레져","스포츠·레저용품",137585,138288,"감소","summer",0,100,4,111.7,19.6
"219","2017","6","2Q","모바일","식품","농축수산물",114736,112058,"증가","summer",0,100,4,111.7,19.6
"220","2017","6","2Q","모바일","식품","음·식료품",398224,394181,"증가","summer",0,100,4,111.7,19.6
"221","2017","6","2Q","인터넷","식품","농축수산물",66113,63704,"증가","summer",0,100,4,111.7,19.6
"222","2017","6","2Q","인터넷","식품","음·식료품",243369,239172,"증가","summer",0,100,4,111.7,19.6
"223","2017","6","2Q","모바일","여가_생활편의","e쿠폰서비스",78868,83982,"감소","summer",0,100,4,111.7,19.6
"224","2017","6","2Q","모바일","여가_생활편의","문화 및 레저서비스",57802,57009,"증가","summer",0,100,4,111.7,19.6
"225","2017","6","2Q","모바일","여가_생활편의","여행 및 교통서비스",605819,607302,"감소","summer",0,100,4,111.7,19.6
"226","2017","6","2Q","인터넷","여가_생활편의","e쿠폰서비스",16151,14631,"증가","summer",0,100,4,111.7,19.6
"227","2017","6","2Q","인터넷","여가_생활편의","문화 및 레저서비스",86509,76776,"증가","summer",0,100,4,111.7,19.6
"228","2017","6","2Q","인터넷","여가_생활편의","여행 및 교통서비스",605089,574594,"증가","summer",0,100,4,111.7,19.6
"229","2017","6","2Q","모바일","출산_육아","아동·유아용품",183591,198011,"감소","summer",0,100,4,111.7,19.6
