"","년도","월","검색기기","카테고리명","기기별_검색추이"
"243","2018","04","모바일","디지털_가전",54.9654
"244","2018","04","인터넷","디지털_가전",11.24206
"245","2018","04","모바일","생활_건강",54.046285
"246","2018","04","인터넷","생활_건강",9.238305
"247","2018","04","모바일","스포츠_레져",44.734515
"248","2018","04","인터넷","스포츠_레져",6.03907
"249","2018","04","모바일","식품",38.644885
"250","2018","04","인터넷","식품",6.550635
"251","2018","04","모바일","출산_육아",51.17781
"252","2018","04","인터넷","출산_육아",5.23866
"253","2018","04","모바일","패션잡화",66.860785
"254","2018","04","인터넷","패션잡화",7.820555
"255","2018","04","모바일","화장품_미용",64.183815
"256","2018","04","인터넷","화장품_미용",9.780635
"257","2018","05","모바일","가구_인테리어",51.774295
"258","2018","05","인터넷","가구_인테리어",9.75655
"259","2018","05","모바일","디지털_가전",57.57044
"260","2018","05","인터넷","디지털_가전",11.412535
"261","2018","05","모바일","생활_건강",54.97656
"262","2018","05","인터넷","생활_건강",9.057475
"263","2018","05","모바일","스포츠_레져",51.597625
"264","2018","05","인터넷","스포츠_레져",6.773345
"265","2018","05","모바일","식품",39.82454
"266","2018","05","인터넷","식품",6.62734
"267","2018","05","모바일","출산_육아",51.37107
"268","2018","05","인터넷","출산_육아",5.016725
"269","2018","05","모바일","패션잡화",69.74778
"270","2018","05","인터넷","패션잡화",8.118205
"271","2018","05","모바일","화장품_미용",66.703275
"272","2018","05","인터넷","화장품_미용",9.968515
"273","2018","06","모바일","가구_인테리어",49.8224
"274","2018","06","인터넷","가구_인테리어",8.99945
"275","2018","06","모바일","디지털_가전",54.634945
"276","2018","06","인터넷","디지털_가전",10.534785
"277","2018","06","모바일","생활_건강",52.17468
"278","2018","06","인터넷","생활_건강",8.41711
"279","2018","06","모바일","스포츠_레져",55.25695
"280","2018","06","인터넷","스포츠_레져",6.90288
"281","2018","06","모바일","식품",38.836405
"282","2018","06","인터넷","식품",6.22109
"283","2018","06","모바일","출산_육아",46.240835
"284","2018","06","인터넷","출산_육아",4.41494
"285","2018","06","모바일","패션잡화",70.916145
"286","2018","06","인터넷","패션잡화",8.065345
"287","2018","06","모바일","화장품_미용",64.35668
"288","2018","06","인터넷","화장품_미용",9.151675
"289","2018","07","모바일","가구_인테리어",50.85418
"290","2018","07","인터넷","가구_인테리어",9.749545
"291","2018","07","모바일","디지털_가전",63.92662
"292","2018","07","인터넷","디지털_가전",12.45257
"293","2018","07","모바일","생활_건강",55.92991
"294","2018","07","인터넷","생활_건강",9.09362
"295","2018","07","모바일","스포츠_레져",63.701795
"296","2018","07","인터넷","스포츠_레져",8.02837
"297","2018","07","모바일","식품",39.60808
"298","2018","07","인터넷","식품",6.80572
"299","2018","07","모바일","출산_육아",48.33021
"300","2018","07","인터넷","출산_육아",4.896985
"301","2018","07","모바일","패션잡화",70.60628
"302","2018","07","인터넷","패션잡화",8.529505
"303","2018","07","모바일","화장품_미용",63.508165
"304","2018","07","인터넷","화장품_미용",9.635675
"305","2018","08","모바일","가구_인테리어",51.953245
"306","2018","08","인터넷","가구_인테리어",9.90922
"307","2018","08","모바일","디지털_가전",58.336855
"308","2018","08","인터넷","디지털_가전",12.16105
"309","2018","08","모바일","생활_건강",55.889285
"310","2018","08","인터넷","생활_건강",9.2824
"311","2018","08","모바일","스포츠_레져",54.720655
"312","2018","08","인터넷","스포츠_레져",7.11118
"313","2018","08","모바일","식품",42.14884
"314","2018","08","인터넷","식품",7.33176
"315","2018","08","모바일","출산_육아",44.17256
"316","2018","08","인터넷","출산_육아",4.55145
"317","2018","08","모바일","패션잡화",66.46234
"318","2018","08","인터넷","패션잡화",8.026905
"319","2018","08","모바일","화장품_미용",64.73537
"320","2018","08","인터넷","화장품_미용",10.026095
"321","2018","09","모바일","가구_인테리어",51.594855
"322","2018","09","인터넷","가구_인테리어",8.988465
"323","2018","09","모바일","디지털_가전",51.86605
"324","2018","09","인터넷","디지털_가전",12.070665
"325","2018","09","모바일","생활_건강",47.795715
"326","2018","09","인터넷","생활_건강",7.658275
"327","2018","09","모바일","스포츠_레져",47.315145
"328","2018","09","인터넷","스포츠_레져",6.01899
"329","2018","09","모바일","식품",45.5961
"330","2018","09","인터넷","식품",7.4676
"331","2018","09","모바일","출산_육아",43.595955
"332","2018","09","인터넷","출산_육아",4.038685
"333","2018","09","모바일","패션잡화",66.49028
"334","2018","09","인터넷","패션잡화",7.370305
"335","2018","09","모바일","화장품_미용",62.419415
"336","2018","09","인터넷","화장품_미용",9.03369
"337","2018","10","모바일","가구_인테리어",59.71002
"338","2018","10","인터넷","가구_인테리어",11.882705
"339","2018","10","모바일","디지털_가전",56.692655
"340","2018","10","인터넷","디지털_가전",15.537685
"341","2018","10","모바일","생활_건강",49.837725
"342","2018","10","인터넷","생활_건강",9.13609
"343","2018","10","모바일","스포츠_레져",61.12694
"344","2018","10","인터넷","스포츠_레져",8.029885
"345","2018","10","모바일","식품",43.42665
"346","2018","10","인터넷","식품",7.50556
"347","2018","10","모바일","출산_육아",46.155325
"348","2018","10","인터넷","출산_육아",4.71543
"349","2018","10","모바일","패션잡화",67.45393
"350","2018","10","인터넷","패션잡화",8.278105
"351","2018","10","모바일","화장품_미용",69.11937
"352","2018","10","인터넷","화장품_미용",11.09636
"353","2018","11","모바일","가구_인테리어",56.6024
"354","2018","11","인터넷","가구_인테리어",10.909375
"355","2018","11","모바일","디지털_가전",59.21389
"356","2018","11","인터넷","디지털_가전",17.615855
"357","2018","11","모바일","생활_건강",49.666415
"358","2018","11","인터넷","생활_건강",9.01551
"359","2018","11","모바일","스포츠_레져",56.76505
"360","2018","11","인터넷","스포츠_레져",6.930545
"361","2018","11","모바일","식품",42.605835
"362","2018","11","인터넷","식품",7.25732
"363","2018","11","모바일","출산_육아",45.534155
"364","2018","11","인터넷","출산_육아",4.61077
"365","2018","11","모바일","패션잡화",65.80369
"366","2018","11","인터넷","패션잡화",8.024285
"367","2018","11","모바일","화장품_미용",67.434525
"368","2018","11","인터넷","화장품_미용",10.52127
"369","2018","12","모바일","가구_인테리어",60.59325
"370","2018","12","인터넷","가구_인테리어",10.4659
"371","2018","12","모바일","디지털_가전",60.99965
"372","2018","12","인터넷","디지털_가전",17.146205
"373","2018","12","모바일","생활_건강",51.25331
"374","2018","12","인터넷","생활_건강",8.422015
"375","2018","12","모바일","스포츠_레져",56.737245
"376","2018","12","인터넷","스포츠_레져",6.190755
"377","2018","12","모바일","식품",43.32058
"378","2018","12","인터넷","식품",6.84472
"379","2018","12","모바일","출산_육아",63.895525
"380","2018","12","인터넷","출산_육아",5.648185
"381","2018","12","모바일","패션잡화",74.856825
"382","2018","12","인터넷","패션잡화",7.994725
